,0,1,2,3,4,5,6,7
décembre,0.224,0.102,0.131,0.018,0.073,0.126,0.1,0.548
prendre,0.563,0.4,0.688,0.811,0.974,0.969,0.964,0.766
cs,0.935,0.867,0.76,0.815,0.946,0.94,0.964,0.909
mis,0.965,0.953,0.993,0.977,0.917,0.954,0.935,0.934
exposition,0.702,0.571,0.329,0.747,0.915,0.876,0.561,0.334
mort,0.32,0.5,0.23,0.173,0.495,0.505,0.224,0.0
informations,0.221,0.056,0.147,0.323,0.67,0.72,0.884,0.937
actuellement,0.451,0.782,0.957,0.932,0.981,0.985,0.931,0.664
mme,0.12,0.122,0.18,0.271,0.694,0.311,0.222,0.374
grands,0.661,0.625,0.327,0.542,0.918,0.759,0.842,0.717
octobre,0.209,0.477,0.127,0.149,0.426,0.34,0.103,0.115
six,0.777,0.662,0.572,0.669,0.922,0.916,0.972,0.938
toutefois,0.873,0.972,0.965,0.859,0.833,0.836,0.964,0.881
quand,0.229,0.345,0.293,0.079,0.521,0.508,0.367,0.766
janvier,0.46,0.893,0.952,0.905,0.938,0.877,0.774,0.881
comité,0.845,0.803,0.869,0.992,0.879,0.885,0.871,0.766
banques,0.111,0.195,0.234,0.178,0.519,0.689,0.197,0.329
septembre,0.873,0.859,0.934,0.906,0.862,0.634,0.15,0.104
sud,0.813,0.93,0.794,0.937,0.972,0.976,0.848,0.779
industrie,0.319,0.137,0.037,0.122,0.26,0.277,0.77,0.881
entrée,0.497,0.392,0.583,0.571,0.324,0.241,0.665,0.881
assemblée,0.657,0.439,0.48,0.196,0.648,0.804,0.67,0.533
mieux,0.0,0.403,0.299,0.221,0.421,0.223,0.108,0.576
titre,0.664,0.567,0.865,0.865,0.709,0.379,0.796,0.615
décision,0.542,0.791,0.959,0.983,0.927,0.955,0.919,0.549
gen,0.701,0.952,0.912,0.983,0.968,0.943,0.964,0.881
production,0.873,0.911,0.824,0.353,0.33,0.09,0.077,0.104
intérêt,0.873,0.831,0.67,0.892,0.93,0.975,0.964,0.881
musée,0.618,0.316,0.554,0.734,0.972,0.977,0.964,0.94
voix,0.759,0.405,0.283,0.375,0.544,0.925,0.878,0.881
fonds,0.108,0.0,0.0,0.032,0.105,0.092,0.069,0.345
mm,0.317,0.207,0.032,0.044,0.125,0.346,0.09,0.329
coup,0.214,0.404,0.154,0.023,0.015,0.072,0.043,0.0
grâce,0.679,0.396,0.632,0.78,0.951,0.896,0.924,0.881
maison,0.435,0.289,0.17,0.115,0.257,0.214,0.583,0.881
problèmes,0.664,0.572,0.694,0.291,0.222,0.194,0.064,0.422
développement,0.453,0.899,0.758,0.762,0.91,0.959,0.74,0.547
